cost_component|var_pop|closest_relative_type|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|bd_17#prev_2021|relative|65+|38894412.273|1591|1694131.0783|1591|24446.519342|1064.8215451
secondary_sector|bd_18#inc_2016_2021|father|0-24|1824042.4983|101|1116469.3172|101|18059.826716|11054.151656
secondary_sector|bd_18#inc_2016_2021|mother|0-24|1088512.3279|103|88420.666202|103|10568.080853|858.45306993
secondary_sector|bd_18#inc_2016_2021|relative|25-64|51515601.991|2829|3246512.2896|2829|18209.827498|1147.5829938
secondary_sector|bd_18#inc_2016_2021|relative|65+|226591504.72|9639|7177438.1326|9639|23507.78138|744.62476736
secondary_sector|bd_18#prev_2021|father|0-24|2984831.6497|174|-108577.1739|174|17154.204883|-624.0067467
secondary_sector|bd_18#prev_2021|mother|0-24|3204703.2797|180|1177833.5515|180|17803.907109|6543.5197305
secondary_sector|bd_18#prev_2021|relative|25-64|93344396.87|4995|9995131.0024|4995|18687.566941|2001.0272277
secondary_sector|bd_18#prev_2021|relative|65+|340446912.43|14968|-19714958.18|14968|22744.98346|-1317.140445
secondary_sector|bd_19#inc_2016_2021|father|0-24|101360211.09|6631|17743293.046|6631|15285.810751|2675.8095379
secondary_sector|bd_19#inc_2016_2021|mother|0-24|130536802.5|7010|41291119.297|7010|18621.512482|5890.3165902
secondary_sector|bd_19#inc_2016_2021|relative|25-64|143976134.02|8491|17618381.341|8491|16956.322462|2074.9477495
secondary_sector|bd_19#inc_2016_2021|relative|65+|4165546.4971|223|307749.25559|223|18679.580705|1380.0415049
secondary_sector|bd_19#prev_2021|father|0-24|98721975.108|5350|17793381.175|5350|18452.705628|3325.8656401
secondary_sector|bd_19#prev_2021|mother|0-24|108952718.29|5583|43668163.756|5583|19515.084773|7821.6306207
secondary_sector|bd_19#prev_2021|relative|25-64|992244393.38|52850|110946542.67|52850|18774.728352|2099.2723305
secondary_sector|bd_19#prev_2021|relative|65+|74607427.667|3375|10409637.608|3375|22105.904494|3084.3370691
secondary_sector|bd_20#inc_2016_2021|father|0-24|5715033.0336|408|1642580.6344|408|14007.433906|4025.9329274
secondary_sector|bd_20#inc_2016_2021|mother|0-24|4879251.6406|422|-336800.431|422|11562.207679|-798.1052868
secondary_sector|bd_20#inc_2016_2021|relative|25-64|174728926.78|8690|36336890.462|8690|20106.896062|4181.4603524
secondary_sector|bd_20#inc_2016_2021|relative|65+|299157703.19|12418|10742137.271|12418|24090.650925|865.04568136
secondary_sector|bd_20#prev_2021|father|0-24|5896960.4465|609|126514.06721|609|9683.0220796|207.74066865
secondary_sector|bd_20#prev_2021|mother|0-24|5401948.7901|612|-1274799.597|612|8826.7137094|-2083.005877
secondary_sector|bd_20#prev_2021|relative|25-64|297088662.23|14953|43579802.335|14953|19868.164397|2914.4521056
secondary_sector|bd_20#prev_2021|relative|65+|561899508.33|23350|59515674.664|23350|24064.218772|2548.8511634
secondary_sector|bd_21#inc_2016_2021|father|0-24|114753977.87|7945|26431886.208|7945|14443.546617|3326.8579242
secondary_sector|bd_21#inc_2016_2021|mother|0-24|132446228.15|8627|29333551.877|8627|15352.524417|3400.2030691
secondary_sector|bd_21#inc_2016_2021|relative|25-64|138681541.93|7842|11004443.406|7842|17684.460842|1403.2700084
