var_pop|agegroup|closest_relative_type|case_relative|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
bd_02#inc_2016_2021|25-64|parent|0|male|male|3,551 (26.6)|26.6491557223264||3551
bd_02#inc_2016_2021|25-64|parent|0|cci_g|cci_g: title||||
bd_02#inc_2016_2021|25-64|parent|0|cci_g|cci_g: +3|834 (6.3)|6.25891181988743||834
bd_02#inc_2016_2021|25-64|parent|0|cci_g|cci_g: 0|9,335 (70.1)|70.0562851782364||9335
bd_02#inc_2016_2021|25-64|parent|0|cci_g|cci_g: 1-2|3,156 (23.7)|23.6848030018761||3156
bd_02#inc_2016_2021|25-64|parent|0|age_index|age_index|63.6 (57.1;71.9)|57.1274646305861|71.9397260273972|63.611804776
bd_02#inc_2016_2021|25-64|parent|1|__n|__n|13,325 (100.0)|100||13325
bd_02#inc_2016_2021|25-64|parent|1|male|male|3,794 (28.5)|28.4727954971857||3794
bd_02#inc_2016_2021|25-64|parent|1|cci_g|cci_g: title||||
bd_02#inc_2016_2021|25-64|parent|1|cci_g|cci_g: +3|893 (6.7)|6.70168855534709||893
bd_02#inc_2016_2021|25-64|parent|1|cci_g|cci_g: 0|9,197 (69.0)|69.0206378986866||9197
bd_02#inc_2016_2021|25-64|parent|1|cci_g|cci_g: 1-2|3,235 (24.3)|24.2776735459662||3235
bd_02#inc_2016_2021|25-64|parent|1|age_index|age_index|63.5 (57.1;71.7)|57.0575342465753|71.731506849315|63.513017441
bd_02#inc_2016_2021|25-64|partner|0|__n|__n|28,223 (100.0)|100||28223
bd_02#inc_2016_2021|25-64|partner|0|male|male|19,004 (67.3)|67.3351521808454||19004
bd_02#inc_2016_2021|25-64|partner|0|cci_g|cci_g: title||||
bd_02#inc_2016_2021|25-64|partner|0|cci_g|cci_g: +3|372 (1.3)|1.31807391134889||372
bd_02#inc_2016_2021|25-64|partner|0|cci_g|cci_g: 0|25,216 (89.3)|89.3455692165964||25216
bd_02#inc_2016_2021|25-64|partner|0|cci_g|cci_g: 1-2|2,635 (9.3)|9.3363568720547||2635
bd_02#inc_2016_2021|25-64|partner|0|age_index|age_index|43.7 (34.3;53.8)|34.3064525787858|53.7875439778426|43.740437158
bd_02#inc_2016_2021|25-64|partner|1|__n|__n|28,223 (100.0)|100||28223
